date,state,district,village_ward_id,village_ward_name,latitude,longitude,elevation_m,slope_deg,aspect_deg,rainfall_mm_daily,rainfall_mm_1hr_max,rainfall_mm_3day_cum,rainfall_mm_7day_cum,soil_moisture_pct,river_distance_km,river_water_level_m,river_level_change_24hr_m,landslide_history_count,flood_history_count,land_use_type,flash_flood_occurred,lead_time_hours
2023-06-23,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.4,1.1,11.1,39.9,25.9,0.48,2.12,-0.01,2,0,agriculture,0,
2023-06-24,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,9.8,2.7,18.2,41.6,25.8,0.48,2.19,0.07,2,0,forest,0,
2023-06-25,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,9.7,4.3,22.9,48.6,27.4,0.48,2.21,0.02,2,0,forest,0,
2023-06-26,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,12.1,3.0,31.6,54.2,29.7,0.48,2.18,-0.03,2,0,agriculture,0,
2023-06-27,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,2.2,0.8,24.0,44.9,28.2,0.48,2.14,-0.04,2,0,built-up,0,
2023-06-28,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,15.6,4.3,29.9,57.8,30.3,0.48,2.18,0.04,2,0,forest,0,
2023-06-29,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,6.3,3.1,24.1,59.1,30.1,0.48,2.28,0.1,2,0,agriculture,0,
2023-06-30,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,7.2,2.4,29.1,62.9,30.0,0.48,2.25,-0.03,2,0,forest,0,
2023-07-01,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,11.2,4.2,24.7,64.3,32.2,0.48,2.25,0.0,2,0,forest,0,
2023-07-02,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,23.1,6.9,41.5,77.7,38.9,0.48,2.42,0.17,2,0,agriculture,0,
2023-07-03,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,6.1,1.8,40.4,71.7,37.6,0.48,2.42,0.0,2,0,built-up,0,
2023-07-04,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,13.9,5.0,43.1,83.4,40.3,0.48,2.44,0.02,2,0,built-up,0,
2023-07-05,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,19.4,8.9,39.4,87.2,47.9,0.48,2.56,0.12,2,0,forest,0,
2023-07-06,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,15.2,6.5,48.5,96.1,49.2,0.48,2.59,0.03,2,0,agriculture,0,
2023-07-07,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,21.8,10.8,56.4,110.7,51.3,0.48,2.67,0.08,2,0,agriculture,0,
2023-07-08,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,10.2,4.4,47.2,109.7,52.6,0.48,2.76,0.09,2,0,agriculture,0,
2023-07-09,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,1.4,0.6,33.4,88.0,48.1,0.48,2.6,-0.16,2,0,forest,0,
2023-07-10,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,38.9,16.1,50.5,120.8,59.8,0.48,3.0,0.4,2,0,forest,0,
2023-07-11,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,49.5,17.6,89.8,156.4,60.0,0.48,3.43,0.43,2,0,forest,0,
2023-07-12,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,43.5,13.1,131.9,180.5,60.0,0.48,3.71,0.28,2,0,agriculture,0,
2023-07-13,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,9.3,3.7,102.3,174.6,57.8,0.48,3.66,-0.05,2,0,forest,0,
2023-07-14,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,172.9,44.6,225.7,325.7,60.0,0.48,5.56,1.9,2,0,agriculture,1,5
2023-07-15,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,37.3,19.9,219.5,352.8,60.0,0.48,5.75,0.19,2,0,barren,0,
2023-07-16,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,12.2,3.4,222.4,363.6,58.4,0.48,5.62,-0.13,2,0,forest,0,
2023-07-17,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.1,3.6,57.6,332.8,56.7,0.48,5.45,-0.17,2,0,built-up,0,
2023-07-18,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,20.3,9.6,40.6,303.6,57.3,0.48,5.36,-0.09,2,0,built-up,0,
2023-07-19,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,19.8,9.4,48.2,279.9,59.3,0.48,5.31,-0.05,2,0,barren,0,
2023-07-20,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,16.2,5.6,56.3,286.8,59.6,0.48,5.29,-0.02,2,0,forest,0,
2023-07-21,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,17.0,7.5,53.0,130.9,60.0,0.48,5.14,-0.15,2,0,forest,0,
2023-07-22,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,9.2,4.5,42.4,102.8,57.0,0.48,4.99,-0.15,2,0,agriculture,0,
2023-07-23,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,26.2,7.7,52.4,116.8,60.0,0.48,5.08,0.09,2,0,forest,0,
2023-07-24,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,32.8,8.9,68.2,141.5,60.0,0.48,5.27,0.19,2,0,forest,0,
2023-07-25,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.3,1.8,62.3,124.5,53.9,0.48,5.01,-0.26,2,0,forest,0,
2023-07-26,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,32.9,12.4,69.0,137.6,60.0,0.48,5.15,0.14,2,0,agriculture,0,
2023-07-27,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,17.0,9.1,53.2,138.4,60.0,0.48,5.03,-0.12,2,0,built-up,0,
2023-07-28,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,6.4,1.6,56.3,127.8,56.6,0.48,4.9,-0.13,2,0,barren,0,
2023-07-29,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,14.4,6.3,37.8,133.0,55.9,0.48,4.81,-0.09,2,0,agriculture,0,
2023-07-30,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,43.2,11.4,64.0,150.0,60.0,0.48,5.13,0.32,2,0,agriculture,0,
2023-07-31,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,6.4,2.7,64.0,123.6,56.0,0.48,4.86,-0.27,2,0,built-up,0,
2023-08-01,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,17.4,9.1,67.0,137.7,58.1,0.48,4.9,0.04,2,0,agriculture,0,
2023-08-02,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,29.6,12.7,53.4,134.4,60.0,0.48,5.03,0.13,2,0,built-up,0,
2023-08-03,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,12.5,4.7,59.5,129.9,58.9,0.48,4.92,-0.11,2,0,built-up,0,
2023-08-04,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,13.4,6.8,55.5,136.9,58.4,0.48,4.82,-0.1,2,0,forest,0,
2023-08-05,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.6,1.3,29.5,126.1,54.5,0.48,4.64,-0.18,2,0,agriculture,0,
2023-08-06,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,7.0,3.5,24.0,89.9,53.9,0.48,4.58,-0.06,2,0,built-up,0,
2023-08-07,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,5.3,2.3,15.9,88.8,50.4,0.48,4.37,-0.21,2,0,forest,0,
2023-08-08,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,21.7,9.3,34.0,93.1,52.9,0.48,4.31,-0.06,2,0,barren,0,
2023-08-09,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,15.5,6.8,42.5,79.0,51.6,0.48,4.19,-0.12,2,0,agriculture,0,
2023-08-10,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,12.8,4.5,50.0,79.3,50.3,0.48,4.17,-0.02,2,0,forest,0,
2023-08-11,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,4.9,1.9,33.2,70.8,47.7,0.48,3.97,-0.2,2,0,forest,0,
2023-08-12,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,19.2,6.4,36.9,86.4,50.5,0.48,3.95,-0.02,2,0,forest,0,
2023-08-13,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,13.9,6.8,38.0,93.3,48.7,0.48,3.89,-0.06,2,0,built-up,0,
2023-08-14,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,15.7,5.2,48.8,103.7,50.8,0.48,3.92,0.03,2,0,forest,0,
2023-08-15,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.4,3.0,38.0,90.4,47.8,0.48,3.91,-0.01,2,0,forest,0,
2023-08-16,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,10.9,5.7,35.0,85.8,50.5,0.48,3.9,-0.01,2,0,forest,0,
2023-08-17,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,36.1,13.1,55.4,109.1,57.4,0.48,4.1,0.2,2,0,forest,0,
2023-08-18,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,5.0,2.3,52.0,109.2,53.7,0.48,4.03,-0.07,2,0,forest,0,
2023-08-19,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,56.0,16.1,97.1,146.0,60.0,0.48,4.46,0.43,2,0,agriculture,0,
2023-08-20,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.5,1.9,64.5,135.6,54.0,0.48,4.31,-0.15,2,0,forest,0,
2023-08-21,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,9.1,3.1,68.6,129.0,51.6,0.48,4.2,-0.11,2,0,agriculture,0,
2023-08-22,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,6.5,2.4,19.1,127.1,48.5,0.48,4.11,-0.09,2,0,forest,0,
2023-08-23,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,19.6,6.5,35.2,135.8,51.7,0.48,4.1,-0.01,2,0,forest,0,
2023-08-24,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,20.1,6.5,46.2,119.8,54.8,0.48,4.1,0.0,2,0,forest,0,
2023-08-25,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,4.7,1.2,44.4,119.5,51.5,0.48,3.9,-0.2,2,0,forest,0,
2023-08-26,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,9.7,4.8,34.5,73.2,51.1,0.48,3.77,-0.13,2,0,built-up,0,
2023-08-27,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,7.2,3.8,21.6,76.9,51.3,0.48,3.68,-0.09,2,0,barren,0,
2023-08-28,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.0,3.8,24.9,75.8,50.5,0.48,3.61,-0.07,2,0,forest,0,
2023-08-29,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.1,4.0,23.3,77.4,49.3,0.48,3.54,-0.07,2,0,forest,0,
2023-08-30,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,48.3,23.9,64.4,106.1,60.0,0.48,3.89,0.35,2,0,agriculture,0,
2023-08-31,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,27.4,14.2,83.8,113.4,60.0,0.48,4.07,0.18,2,0,barren,0,
2023-09-01,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,0.5,0.3,76.2,109.2,52.7,0.48,3.93,-0.14,2,0,forest,0,
2023-09-02,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,9.7,4.7,37.6,109.2,52.6,0.48,3.83,-0.1,2,0,forest,0,
2023-09-03,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.2,1.3,13.4,105.2,49.1,0.48,3.69,-0.14,2,0,forest,0,
2023-09-04,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,15.8,7.4,28.7,113.0,50.0,0.48,3.74,0.05,2,0,agriculture,0,
2023-09-05,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,16.4,5.8,35.4,121.3,49.8,0.48,3.82,0.08,2,0,agriculture,0,
2023-09-06,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,7.6,3.9,39.8,80.6,50.5,0.48,3.73,-0.09,2,0,agriculture,0,
2023-09-07,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,11.2,3.3,35.2,64.4,51.8,0.48,3.74,0.01,2,0,agriculture,0,
2023-09-08,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,7.7,2.2,26.5,71.6,49.8,0.48,3.65,-0.09,2,0,agriculture,0,
2023-09-09,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,14.1,4.9,33.0,76.0,49.4,0.48,3.55,-0.1,2,0,agriculture,0,
2023-09-10,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,5.5,2.1,27.3,78.3,47.3,0.48,3.43,-0.12,2,0,forest,0,
2023-09-11,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,1.5,0.6,21.1,64.0,43.0,0.48,3.31,-0.12,2,0,agriculture,0,
2023-09-12,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,2.7,1.0,9.7,50.3,40.3,0.48,3.31,0.0,2,0,forest,0,
2023-09-13,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,7.0,3.6,11.2,49.7,38.5,0.48,3.2,-0.11,2,0,forest,0,
2023-09-14,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,30.7,11.8,40.4,69.2,45.8,0.48,3.27,0.07,2,0,agriculture,0,
2023-09-15,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,14.0,4.3,51.7,75.5,45.4,0.48,3.24,-0.03,2,0,agriculture,0,
2023-09-16,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,5.0,2.2,49.7,66.4,42.8,0.48,3.17,-0.07,2,0,forest,0,
2023-09-17,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,2.4,0.7,21.4,63.3,38.2,0.48,3.08,-0.09,2,0,forest,0,
2023-09-18,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,11.8,4.4,19.2,73.6,38.2,0.48,3.01,-0.07,2,0,forest,0,
2023-09-19,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,10.4,2.9,24.6,81.3,38.9,0.48,2.92,-0.09,2,0,agriculture,0,
2023-09-20,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,2.1,0.7,24.3,76.4,35.0,0.48,2.74,-0.18,2,0,agriculture,0,
2023-09-21,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,20.5,10.9,33.0,66.2,39.1,0.48,2.87,0.13,2,0,built-up,0,
2023-09-22,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,13.0,3.4,35.6,65.2,40.4,0.48,2.9,0.03,2,0,agriculture,0,
2023-09-23,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,1.2,0.6,34.7,61.4,36.8,0.48,2.78,-0.12,2,0,forest,0,
2023-09-24,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,1.3,0.6,15.5,60.3,34.2,0.48,2.67,-0.11,2,0,agriculture,0,
2023-09-25,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,13.1,6.9,15.6,61.6,34.2,0.48,2.63,-0.04,2,0,agriculture,0,
2023-09-26,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,5.0,1.8,19.4,56.2,33.0,0.48,2.51,-0.12,2,0,built-up,0,
2023-09-27,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,1.8,0.7,19.9,55.9,30.9,0.48,2.42,-0.09,2,0,built-up,0,
2023-09-28,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,10.3,4.4,17.1,45.7,30.5,0.48,2.48,0.06,2,0,forest,0,
2023-09-29,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.7,1.5,15.8,36.4,28.2,0.48,2.49,0.01,2,0,forest,0,
2023-09-30,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,9.6,4.1,23.6,44.8,29.8,0.48,2.44,-0.05,2,0,barren,0,
2023-10-01,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,5.5,2.1,18.8,49.0,29.2,0.48,2.32,-0.12,2,0,built-up,0,
2023-10-02,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,11.8,6.0,26.9,47.7,31.6,0.48,2.34,0.02,2,0,forest,0,
2023-10-03,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,9.1,4.8,26.4,51.8,32.3,0.48,2.36,0.02,2,0,barren,0,
2023-10-04,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,5.6,2.9,26.5,55.6,30.9,0.48,2.35,-0.01,2,0,built-up,0,
2023-10-05,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,7.2,2.0,21.9,52.5,30.2,0.48,2.27,-0.08,2,0,built-up,0,
2023-10-06,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,15.7,6.5,28.5,64.5,32.8,0.48,2.4,0.13,2,0,agriculture,0,
2023-10-07,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.1,4.2,31.0,63.0,33.7,0.48,2.41,0.01,2,0,built-up,0,
2023-10-08,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,6.9,3.3,30.7,64.4,32.5,0.48,2.25,-0.16,2,0,agriculture,0,
2023-10-09,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,4.6,1.5,19.6,57.2,32.6,0.48,2.18,-0.07,2,0,forest,0,
2023-10-10,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.3,0.9,14.8,51.4,28.7,0.48,2.05,-0.13,2,0,agriculture,0,
2023-06-01,Uttarakhand,Rudraprayag,V002,Sonprayag,30.6748,79.0439,1829,20.5,342.0,8.8,3.9,8.8,8.8,26.3,4.73,2.76,,1,1,forest,0,
